T,TM,Tm,SLP,H,VV,V,VM
9.1,15.3,4.0,1015.6,90.0,0.5,0.0,-
7.4,9.8,4.8,1017.6,93.0,0.5,4.3,9.4
7.8,12.7,4.4,1018.5,87.0,0.6,4.4,11.1
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
6.7,13.4,2.4,1019.4,82.0,0.6,4.8,11.1
8.6,15.5,3.3,1018.7,72.0,0.8,8.1,20.6
12.4,20.9,4.4,1017.3,61.0,1.3,8.7,22.2
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
16.0,25.2,10.0,1013.2,79.0,0.6,4.8,11.1
13.4,21.0,9.2,1015.1,87.0,0.5,1.5,7.6
14.3,22.6,6.6,1016.3,76.0,0.8,0.4,3.5
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
12.7,18.9,7.3,1021.2,76.0,1.8,6.1,16.5
11.9,18.9,6.3,1020.1,76.0,1.1,8.3,20.6
12.2,19.9,6.2,1021.0,69.0,2.1,4.4,18.3
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
13.4,21.1,5.6,1020.0,60.0,1.9,8.0,22.2
12.3,21.4,6.4,1019.6,70.0,1.9,6.7,14.8
13.7,22.0,7.0,1018.2,63.0,1.8,7.2,18.3
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
14.9,21.9,7.1,1018.3,73.0,0.6,2.0,7.6
15.0,24.0,7.6,1017.4,81.0,0.6,2.2,7.6
16.3,24.0,12.0,1017.2,80.0,0.8,1.3,9.4
18.7,26.3,9.5,1015.3,64.0,1.6,1.7,7.6
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
14.6,21.6,9.4,1018.4,72.0,2.7,9.4,18.3
14.7,21.7,8.4,1017.1,71.0,1.8,10.9,22.2
14.8,22.6,8.5,1016.8,67.0,2.1,9.3,18.3
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
17.4,25.4,10.3,1015.8,63.0,1.9,6.7,14.8
18.1,26.7,10.2,1013.8,61.0,2.6,5.0,11.1
18.3,23.2,12.7,1011.2,75.0,1.9,10.0,22.2
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
16.4,22.0,11.2,1015.5,81.0,1.6,5.9,18.3
16.9,23.5,10.1,1016.8,80.0,1.3,5.2,22.2
19.3,26.9,12.1,1015.6,74.0,1.6,5.9,11.1
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
17.2,24.2,10.8,1018.3,74.0,2.6,4.6,14.8
17.7,26.5,9.8,1015.3,73.0,1.4,4.8,14.8
20.4,28.4,15.2,1014.7,62.0,2.4,5.0,14.8
nan,nan,nan,nan,nan,nan,nan,nan
18.2,26.1,12.2,1016.3,54.0,1.9,24.4,33.5
19.0,26.8,11.7,1016.3,58.0,2.6,16.7,29.4
18.7,27.8,13.3,1016.2,69.0,2.4,7.4,25.9
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
22.6,30.6,15.7,1015.4,62.0,2.6,8.1,20.6
22.5,31.8,13.7,1014.6,57.0,2.3,5.9,14.8
24.0,33.8,13.6,1009.7,53.0,1.9,4.6,18.3
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
